time,temperature,supersaturation,growth rate,nucleation rate,transform time,concentration,"$\mu_{s,0}$","$\mu_{s,1}$","$\mu_{s,2}$","$\mu_{s,3}$","$\mu_{s,4}$","$\mu_{n,0}$","$\mu_{n,1}$","$\mu_{n,2}$","$\mu_{n,3}$","$\mu_{n,4}$",PDF for size=0
min,$^oC$,-,$\mu m/min$,$1/(\mu m^3*min)$,\mu m,g/L,$1/\mu m^3$,$1/\mu m^2$,$1/\mu m$,-,$\mu m$,$1/\mu m^3$,$1/\mu m^2$,$1/\mu m$,-,$\mu m$,$1/\mu m^4$
17.0,31.9616171875,0.0013163255873323268,1.0980077296023742,1.0985508240908427e-16,3.783184148076728,492.99028159136566,4.710811560361758e-13,4.8903966194758915e-11,5.086403140694786e-09,5.300399932273563e-07,5.5333022299856955e-05,2.857622553351702e-16,4.874514918750161e-16,1.2199038325816625e-15,3.5405531823915057e-15,1.0759951784960385e-14,1.0004946180922288e-16
18.0,31.9544375,0.0015627837488315201,1.3771851800454296,1.5449598729334224e-16,5.02078060290063,492.99024115879126,4.710811560361758e-13,4.9487467532834e-11,5.208383648083095e-09,5.492023418952762e-07,5.801413244376505e-05,4.183446224783973e-16,9.389883594979502e-16,3.1318184928747254e-15,1.242278398984564e-14,5.2646955274620847e-14,1.1218243525409258e-16
19.0,31.9464140625,0.001838293212263105,1.706370462833363,2.1546180899228467e-16,6.562558424340026,492.9901895179782,4.710811560361758e-13,5.0214024032957554e-11,5.362215912202315e-09,5.736766373572846e-07,6.148193918996517e-05,6.03020697271158e-16,1.7344944922429953e-15,7.308024988062346e-15,3.595110628107449e-14,1.8589601137046273e-13,1.2626906857876487e-16
20.0,31.9375,0.002144493237151995,2.0911943142923493,2.9880743513977652e-16,8.461340812902883,492.99012391566583,4.710811560361758e-13,5.110777271117634e-11,5.554519921836358e-09,6.047677130209258e-07,6.595861084068806e-05,8.591949531914224e-16,3.1320504446122883e-15,1.6633476040180964e-14,1.035536017486781e-13,6.872643235223619e-13,1.4288841218511614e-16
21.0,31.9276484375,0.002483028019752519,2.5375905565062644,4.131533140854121e-16,10.775733248302188,492.9900407812357,4.710811560361758e-13,5.219693471596642e-11,5.793497153498302e-09,6.441677269428972e-07,7.17437190566161e-05,1.2140041410277833e-15,5.552770750815016e-15,3.707832634317666e-14,2.934939423358856e-13,2.5282369455958053e-12,1.6281322967021065e-16
22.0,31.9168125,0.0028555472335635877,3.051797761874422,5.708609874268242e-16,13.57042740749253,492.9899356389344,4.710811560361758e-13,5.3513313706445664e-11,6.088968833444419e-09,6.939977203178351e-07,7.922723984486099e-05,1.7038726866453305e-15,9.637152137686082e-15,7.944192085067614e-14,7.746682266203032e-13,8.237028746408958e-12,1.8705727966593695e-16
23.0,31.9049453125,0.0032637060555592624,3.640360385688713,7.898319901569815e-16,16.916506481274098,492.98980274842876,4.710811560361758e-13,5.5089729720837187e-11,6.452486876525622e-09,7.569777818828474e-07,8.894361771532783e-05,2.3810891814315316e-15,1.6478428633440153e-14,1.666027239887673e-13,1.9954265800950567e-12,2.622410562728455e-11,2.169653293838804e-16
24.0,31.892,0.003709165143873407,4.310129856266307,1.0961896959887425e-15,20.89175160225161,492.9896347031098,4.710811560361758e-13,5.696255492623844e-11,6.898056252582016e-09,8.366171315684044e-07,0.00010161832098975051,3.3190362368320414e-15,2.7802570391102103e-14,3.4163271810568985e-13,4.976986620612336e-12,7.971697573911755e-11,2.5432869369238167e-16
25.0,31.8779296875,0.004193590229565785,5.068265061566869,1.5283602740801127e-15,25.580949061168198,492.9894218206828,4.710811560361758e-13,5.917152174665186e-11,7.442715505121146e-09,9.3750216728637e-07,0.00011825631819680396,4.623053679006928e-15,4.6389615940608585e-14,6.869320836998316e-13,1.2086766798919465e-11,2.345700772427125e-10,3.0155492175612763e-16
26.0,31.8626875,0.004718651401930899,5.922232196492752,2.143247437354464e-15,31.076197690198008,492.9891513658474,4.710811560361758e-13,6.17595847051652e-11,8.107212734902634e-09,1.0656632400873237e-06,0.00014026391219687813,6.4458452864045854e-15,7.672974461879167e-14,1.3582412781170052e-12,2.8661071229741016e-11,6.68776558385512e-10,3.618985825351009e-16
27.0,31.8462265625,0.005286022235815565,6.87980409355913,3.025409653350952e-15,37.47721583522395,492.9888066787855,4.710811560361758e-13,6.47730620451495e-11,8.916695103916912e-09,1.2289845341684802e-06,0.0001695986775382053,9.007336986372648e-15,1.2594869236016614e-13,2.640256422971876e-12,6.616409827456113e-11,1.835151991722039e-09,4.397522970433619e-16
28.0,31.828500000000002,0.005897376417053721,7.9490547985430515,4.302110004243492e-15,44.891645281275046,492.98836506154515,4.710811560361758e-13,6.826504557973919e-11,9.902959771140236e-09,1.4381977877474475e-06,0.00020910534365731117,1.2639202327149589e-14,2.0583078963261467e-13,5.07354550653989e-12,1.5018084410328496e-10,4.934067318330489e-09,5.412102587381845e-16
29.0,31.8094609375,0.0065543872477937925,9.138358224307012,6.163722060279533e-15,53.435351792700075,492.9877970644301,4.710811560361758e-13,7.228845424502768e-11,1.1103459985355199e-08,1.7072064960925686e-06,0.0002627610796840268,1.782123848758975e-14,3.3520300165179985e-13,9.638358690128074e-12,3.344180104355351e-10,1.2909537560770628e-08,6.744889956146303e-16
30.0,31.7890625,0.007258721392366259,10.456375690069112,8.897878553263763e-15,63.232718749888136,492.9870629389672,4.710811560361758e-13,7.69021076503298e-11,1.2564666575656283e-08,2.054734005676387e-06,0.00033632889898193294,2.527449964979869e-14,5.449956100489702e-13,1.815250786640391e-11,7.336680946261308e-10,3.3096804339500955e-08,8.509524539859901e-16
